"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"24b4c2e5-06f9-4b43-9d08-557c60306c6b","Travels of Marco Polo.txt","Marco Polo the Venetian Marsden","char-offset:11","PERSON","","","","","","","","","","",""
"b87ebdc1-f7a7-4b46-b621-be2fb85426e0","Travels of Marco Polo.txt","William","char-offset:44","PERSON","","","","","","","","","","",""
"6e4b5d97-68f2-4bce-bde2-e9dd63767b99","Travels of Marco Polo.txt","Masefield","char-offset:56","PERSON","","","","","","","","","","",""
"cb0db118-fd8b-419e-a4a2-ea08ab4701c4","Travels of Marco Polo.txt","John","char-offset:67","PERSON","","","","","","","","","","",""
"125f6859-b72a-4fbf-8fbe-d84382b5fef7","Travels of Marco Polo.txt","London-New","char-offset:79","PLACE","http://sws.geonames.org/5039111","New London","","45.30108","-94.94418","","UNVERIFIED","","","",""
"88692ede-37e8-48df-9eff-a9551f9c30b6","Travels of Marco Polo.txt","York","char-offset:90","PLACE","http://sws.geonames.org/2633352","York","","53.95763","-1.08271","","UNVERIFIED","","","",""
"202fd5b7-ebb4-492d-b92c-90fa3d501877","Travels of Marco Polo.txt","Dutton","char-offset:122","PERSON","","","","","","","","","","",""
"5f1746f7-d1d0-41b3-a4ef-04d4859f5513","Travels of Marco Polo.txt","Baldwin","char-offset:263","PERSON","","","","","","","","","","",""
"d9679a33-6d30-4e76-b406-ebf9b16fab30","Travels of Marco Polo.txt","Constantinople","char-offset:290","PLACE","http://pleiades.stoa.org/places/520985","Constantinopolis|Byzantium|Byzantium/Byzantion/Constantinopolis, Istanbul","-0750/2100","41.012379","28.975926","settlement,urban","VERIFIED","","","",""
"1981d5f6-50b0-4adc-afbc-f1b887e45ac3","Travels of Marco Polo.txt","Venice","char-offset:352","PLACE","http://sws.geonames.org/3164603","Venice","","45.43713","12.33265","","VERIFIED","","","",""
"230fbcfa-4c1a-4002-88a6-e392cf960dae","Travels of Marco Polo.txt","Nicolo Polo","char-offset:406","PERSON","","","","","","","","","","",""
"231b4ab3-d19e-41ea-9cf0-1472f494d699","Travels of Marco Polo.txt","Marco","char-offset:442","PERSON","","","","","","","","","","",""
"cb65768f-6b1d-432b-a174-921f518f571d","Travels of Marco Polo.txt","Maffeo","char-offset:453","PERSON","","","","","","","","","","",""
"4d6aed4c-be9b-4ebe-a5a3-06a211be02fe","Travels of Marco Polo.txt","Nicolo","char-offset:476","PERSON","","","","","","","","","","",""
"0ec8dc55-25e7-4b83-9523-7711abefe6a4","Travels of Marco Polo.txt","Constantinople","char-offset:609","PLACE","http://pleiades.stoa.org/places/520985","Constantinopolis|Byzantium|Byzantium/Byzantion/Constantinopolis, Istanbul","-0750/2100","41.012379","28.975926","settlement,urban","VERIFIED","","","",""
"8c2cb472-be30-4fdf-ba26-41292eb3b85d","Travels of Marco Polo.txt","Euxine","char-offset:827","PLACE","http://pleiades.stoa.org/places/638838","Euxine|Euxine, Kepez","-0330/-0030","36.837326","28.715749","settlement","VERIFIED","","","",""
"3db78aa1-b66d-4bdc-a91d-0ca87fdb4ce7","Travels of Marco Polo.txt","Constantinople","char-offset:947","PLACE","http://pleiades.stoa.org/places/520985","Constantinopolis|Byzantium|Byzantium/Byzantion/Constantinopolis, Istanbul","-0750/2100","41.012379","28.975926","settlement,urban","VERIFIED","","","",""
"2153670e-fed5-41b3-a620-1e832f00f5e5","Travels of Marco Polo.txt","Soldaia","char-offset:998","PLACE","http://sws.geonames.org/692315","Sudak","","44.84924","34.97471","","VERIFIED","","","",""
"c697575a-08b8-4152-8564-05ce0cca18ef","Travels of Marco Polo.txt","Barka","char-offset:1137","PERSON","","","","","","","","","","",""
"045f864a-e88b-46a7-a98d-5f8689086949","Travels of Marco Polo.txt","Bolgara","char-offset:1171","PLACE","http://geo-kima.org/place/3383","Bulgar (Extinct city)","","","","","VERIFIED","","","",""
"5eaf3589-5dd0-43f1-92a8-b2098744efb1","Travels of Marco Polo.txt","Assara","char-offset:1183","PLACE","http://dare.ht.lu.se/places/39197","Assara, Nikolaevo","0300/0640","42.638151","25.794914","","VERIFIED","","","",""
"7337df3f-9e8d-43e6-a2d7-523a84bed76d","Travels of Marco Polo.txt","Alau","char-offset:2099","PERSON","","","","","","","","","","",""
"a317eced-adf2-41c2-847c-fa0833052133","Travels of Marco Polo.txt","Alau","char-offset:2226","PERSON","","","","","","","","","","",""
"d1b2d71a-2b1b-4e33-917e-7d5c21283c6c","Travels of Marco Polo.txt","Constantinople","char-offset:2456","PLACE","http://pleiades.stoa.org/places/520985","Constantinopolis|Byzantium|Byzantium/Byzantion/Constantinopolis, Istanbul","-0750/2100","41.012379","28.975926","settlement,urban","VERIFIED","","","",""
"1c23c7fb-1b56-459d-b7b1-fb25dd33aa5f","Travels of Marco Polo.txt","Barka","char-offset:2564","PERSON","","","","","","","","","","",""
"757081b2-c4fd-424c-b688-928147e6373e","Travels of Marco Polo.txt","Oukaka","char-offset:2633","PLACE","http://sws.geonames.org/740264","Samsun","","41.28667","36.33","","VERIFIED","","","",""
"02231f23-4211-4324-aa4a-d7705dbd3669","Travels of Marco Polo.txt","Tigris","char-offset:2771","PLACE","http://pleiades.stoa.org/places/912964","Tigris/Diglitus (river)","-18000/2000","34.52908255","44.79467829666667","river","UNVERIFIED","","","",""
"2fa4c0cf-7cbb-49c4-935e-c73a5f02f6d1","Travels of Marco Polo.txt","Bokhara","char-offset:3101","PLACE","http://geo-kima.org/place/12815","Bukhoro (Uzbekistan)","","","","","VERIFIED","","","",""
"599556d0-6963-4d4f-bd0e-e412721ad3b0","Travels of Marco Polo.txt","Persia","char-offset:3168","PLACE","http://sws.geonames.org/5118990","Gowanda","","42.46312","-78.93587","","UNVERIFIED","","","",""
"57c1838c-3386-4781-a311-3677001f0abb","Travels of Marco Polo.txt","Barak","char-offset:3254","PERSON","","","","","","","","","","",""
"8b0ffc68-2bc3-4484-8037-a7b52c8fbc8b","Travels of Marco Polo.txt","Bokhara","char-offset:3370","PLACE","http://geo-kima.org/place/12815","Bukhoro (Uzbekistan)","","","","","VERIFIED","","","",""
"950be091-cb50-40ee-a97b-2003f70f5da7","Travels of Marco Polo.txt","Alau","char-offset:3504","PLACE","http://www.hgis-indias.net/dokuwiki/doku.php?id=gazetteer:7000459","Alao","","-42.600653","-73.298854","Pueblo","UNVERIFIED","","","",""
"7b733de5-b404-449c-80de-497b80e8bcb4","Travels of Marco Polo.txt","Kublai","char-offset:3586","PERSON","","","","","","","","","","",""
"6958c0e6-11a2-447f-88c2-d10d0f681461","Travels of Marco Polo.txt","Italy","char-offset:3785","PLACE","http://geo-kima.org/place/6258","Italy","","","","","UNVERIFIED","","","",""
"c632b9f5-9291-42e6-a66c-60f4773750b4","Travels of Marco Polo.txt","Gregory","char-offset:4945","PERSON","","","","","","","","","","",""
"74cba40c-01a0-44d0-9b0c-e6e05477f8c4","Travels of Marco Polo.txt","Marco Polo","char-offset:5263","PERSON","","","","","","","","","","",""
"fef881de-d1fd-48a1-bad7-0ca284eacb3a","Travels of Marco Polo.txt","Nicolo","char-offset:5301","PERSON","","","","","","","","","","",""
"6225ab1c-f03a-4452-bfe4-9d681aa2d40b","Travels of Marco Polo.txt","Marco","char-offset:5605","PERSON","","","","","","","","","","",""
"abea19f9-0c0f-4a7b-8d4c-0d776754b8b4","Travels of Marco Polo.txt","Marco","char-offset:5701","PERSON","","","","","","","","","","",""
"f554d00e-9fa4-4ad0-969f-7033969490d7","Travels of Marco Polo.txt","Karazan","char-offset:6113","PLACE","","","","","","","UNVERIFIED","","","",""
"1755d2a9-21da-4124-9c8b-0e30fca9dea3","Travels of Marco Polo.txt","Java","char-offset:6683","PLACE","http://sws.geonames.org/1642672","West Java","","-6.9238472594811356","107.61013879517012","","VERIFIED","","","",""
"665d5d3e-a7d7-4a22-a19e-4b5a15190525","Travels of Marco Polo.txt","Indian","char-offset:6872","PLACE","http://sws.geonames.org/4202021","Indian Springs","","33.24262","-83.92074","","UNVERIFIED","","","",""
"efefd5c3-4c8e-4102-970e-92c56825aadd","Travels of Marco Polo.txt","Arghun","char-offset:6974","PERSON","","","","","","","","","","",""
"189ddd79-984e-46a4-a74f-ff4146bedcbb","Travels of Marco Polo.txt","Trebizond","char-offset:7060","PLACE","http://geo-kima.org/place/15019","Trebizond Empire","","","","","UNVERIFIED","","","",""
"51183bc9-2ac6-4d8b-8383-0d05f34dcfaf","Travels of Marco Polo.txt","Constantinople","char-offset:7101","PLACE","http://pleiades.stoa.org/places/520985","Constantinopolis|Byzantium|Byzantium/Byzantion/Constantinopolis, Istanbul","-0750/2100","41.012379","28.975926","settlement,urban","VERIFIED","","","",""
"9ab6625e-d563-4126-ad29-b106fa03964a","Travels of Marco Polo.txt","Negropont","char-offset:7125","PLACE","http://geo-kima.org/place/1411","Euboea Island (Greece)","","","","","VERIFIED","","","",""
